scenario,variant,minimal_circuit,circuit_size
CC_continue,0,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L22_MLP"", ""L15_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]",10
CC_continue,1,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L22_MLP"", ""L15_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]",10
CC_continue,2,"[""L17_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]",10
CC_temptation,0,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L15_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]",10
CC_temptation,1,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L15_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]",10
CC_temptation,2,"[""L17_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]",10
CD_punished,0,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L15_MLP"", ""L22_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4""]",10
CD_punished,1,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L15_MLP"", ""L22_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4""]",10
CD_punished,2,"[""L17_MLP"", ""L25_MLP"", ""L24_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5"", ""L22H6""]",10
DC_exploited,0,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L18_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5""]",10
DC_exploited,1,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L18_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5""]",10
DC_exploited,2,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6""]",10
DD_trapped,0,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5""]",10
DD_trapped,1,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5""]",10
DD_trapped,2,"[""L17_MLP"", ""L25_MLP"", ""L24_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5"", ""L22H6""]",10
